bed,bath,acre_lot,city,house_size,price
3.0,3.0,0.58,Lewiston,1962.0,249000.0
3.0,1.0,0.73,Griswold,2093.0,250000.0
3.0,3.0,0.82,Plainfield,2252.0,469000.0
2.0,3.0,0.58,Suffield,1902.0,280000.0
4.0,5.0,0.97,Cheshire,3249.0,575000.0
3.0,2.0,0.3,Newington,1548.0,289900.0
2.0,3.0,0.2,Lunenburg,1444.0,429900.0
2.0,1.0,0.12,Barrington,970.0,379000.0
4.0,3.0,0.61,Agawam,2857.0,589900.0
4.0,3.0,0.29,Wells,2536.0,499900.0
3.0,2.0,0.54,Wilmington,2054.0,719000.0
2.0,1.0,0.2,Middletown,904.0,850000.0
3.0,2.0,2.8,Hampton,1152.0,239900.0
4.0,2.0,0.1,Manchester,2024.0,390000.0
4.0,2.0,0.25,Lebanon,2100.0,399000.0
3.0,2.0,2.0,Danby,1152.0,275000.0
3.0,2.0,0.04,Newport,1018.0,625000.0
4.0,2.0,0.09,Providence,1440.0,235000.0
8.0,6.0,2.97,Morristown,3700.0,425000.0
3.0,4.0,0.44,Longmeadow,2025.0,394900.0
4.0,2.0,0.1,Pawtucket,2160.0,279000.0
3.0,2.0,0.52,South Windsor,1248.0,349900.0
3.0,2.0,0.34,Rochester,1340.0,310000.0
4.0,3.0,0.5,New Britain,2610.0,395000.0
9.0,6.0,1.2,Monmouth,3188.0,349900.0
2.0,1.0,0.95,Salem,2133.0,750000.0
5.0,3.0,13.8,Winchester,2482.0,365000.0
3.0,3.0,0.51,Trumbull,2013.0,499000.0
4.0,3.0,0.09,Meredith,2440.0,599900.0
4.0,3.0,0.12,Providence,2600.0,879000.0
3.0,1.0,47.9,Sandgate,1848.0,350000.0
4.0,2.0,0.21,Fitchburg,2180.0,299900.0
4.0,3.0,0.18,Norwalk,1891.0,1880000.0
4.0,3.0,0.92,Newport,2284.0,2495000.0
3.0,2.0,0.33,New Milford,1080.0,299900.0
4.0,4.0,0.79,Wolcott,2642.0,524000.0
3.0,1.0,0.14,Hartford,1530.0,289900.0
3.0,2.0,0.37,Portland,1592.0,299000.0
5.0,6.0,1.0,Stamford,5204.0,1279000.0
3.0,2.0,0.31,Maynard,1440.0,499000.0
3.0,2.0,2.66,Somers,1896.0,229900.0
4.0,3.0,1.0,Tolland,2192.0,350000.0
3.0,3.0,1.7,Oxford,2654.0,469900.0
3.0,3.0,0.42,Manchester,1370.0,294900.0
3.0,2.0,1.18,Southbridge,2007.0,379900.0
3.0,3.0,0.48,South Windsor,1872.0,369900.0
2.0,2.0,6.45,Bradley,2052.0,599000.0
4.0,3.0,0.22,Thompson,2306.0,219900.0
3.0,1.0,0.1,Ogunquit,1092.0,869000.0
2.0,2.0,0.31,West Hartford,1432.0,324900.0
5.0,6.0,1.37,Cohasset,6234.0,3895000.0
2.0,1.0,0.2,South Chatham,992.0,699000.0
6.0,2.0,0.15,Middletown,2024.0,329900.0
4.0,4.0,0.57,Stamford,3189.0,1100000.0
3.0,2.0,0.21,Barre,1851.0,355000.0
4.0,4.0,0.15,Manchester,2170.0,349900.0
4.0,3.0,0.52,Milford,2594.0,739900.0
3.0,2.0,0.18,Waterbury,1092.0,199900.0
3.0,3.0,1.86,Old Lyme,2180.0,375000.0
5.0,3.0,2.1,Burrillville,3239.0,599000.0
4.0,2.0,0.19,Hartford,1456.0,249900.0
3.0,1.0,0.69,Rochester,1275.0,459000.0
3.0,2.0,0.01,North Providence,1520.0,369900.0
8.0,4.0,0.24,Ansonia,2896.0,350000.0
4.0,3.0,0.52,Brunswick,3291.0,625000.0
4.0,2.0,0.06,Waterville,1647.0,99900.0
5.0,5.0,0.24,Darien,4013.0,1995000.0
5.0,3.0,0.31,Naugatuck,1704.0,299900.0
6.0,3.0,0.17,New Britain,4088.0,335000.0
5.0,3.0,0.4,Waterville,2729.0,379500.0
1.0,1.0,0.29,New Fairfield,448.0,180000.0
3.0,2.0,0.23,Old Lyme,1300.0,549900.0
6.0,3.0,0.18,Boston,3776.0,1335000.0
4.0,4.0,1.38,Taunton,5162.0,889900.0
2.0,1.0,0.66,Burrillville,960.0,299900.0
